Time,E
11.2779695,-11.6325
11.3446695,-11.3458
11.4114362,-9.84297
11.4781362,-8.8436
11.5449029,-7.99001
11.6116029,-8.59754
11.6783696,-9.43637
11.7450696,-9.20508
11.8118363,-8.36073
11.8785363,-7.86945
11.945303,-8.44077
12.012003,-8.8373
12.0787697,-8.65683
12.1454697,-8.73496
12.2122364,-8.54748
12.2789364,-8.30241
12.3457031,-7.6398
12.4124031,-6.57804
12.4791698,-6.04792
12.5458698,-5.31747
12.6126365,-5.49489
12.6793365,-7.14977
12.7461032,-8.78964
12.8128032,-9.95429
12.8795699,-9.83811
12.9462699,-8.7629
13.0130366,-7.12229
13.0797366,-4.37695
13.1465033,-1.53463
13.2132033,0.225441
13.27997,0.822166
13.34667,0.963814
13.4134367,0.403709
13.4801367,-0.826378
13.5469034,-1.9073
13.6136034,-2.38258
13.6803701,-2.78371
13.7470701,-3.21896
13.8138368,-3.39679
13.8805368,-3.30701
13.9473035,-3.27086
14.0140035,-3.5114
