Time,Empty,Time,Si_chip,Time,Paper Only,Time,Paper+Si
-6.3396349,0.272885,9.5429024,0.351349,-5.8057681,0.23156,10.0767692,0.207078
-6.2729349,0.301944,9.6096024,0.356544,-5.7390681,0.274574,10.1434692,0.250811
-6.2061682,0.237599,9.6763691,0.292267,-5.6723014,0.30941,10.2102359,0.243889
-6.1394682,0.295915,9.7430691,0.23867,-5.6056014,0.370995,10.2769359,0.252886
-6.0727015,0.261426,9.8098358,0.328575,-5.5388347,0.243454,10.3437026,0.198517
-6.0060015,0.235394,9.8765358,0.281769,-5.4721347,0.233391,10.4104026,0.288463
-5.9392348,0.332914,9.9433025,0.151611,-5.405368,0.216156,10.4771693,0.192205
-5.8725348,0.245924,10.0100025,0.219856,-5.338668,0.237518,10.5438693,0.172368
-5.8057681,0.227734,10.0767692,0.295403,-5.2719013,0.323708,10.610636,0.192506
-5.7390681,0.238735,10.1434692,0.288368,-5.2052013,0.207939,10.677336,0.246247
-5.6723014,0.192646,10.2102359,0.125366,-5.1384346,0.335335,10.7441027,0.259988
-5.6056014,0.241701,10.2769359,0.109734,-5.0717346,0.260246,10.8108027,0.150999
-5.5388347,0.256447,10.3437026,0.259071,-5.0049679,0.192909,10.8775694,0.205887
-5.4721347,0.223468,10.4104026,0.31105,-4.9382679,0.246712,10.9442694,0.0866988
-5.405368,0.218802,10.4771693,0.287277,-4.8715012,0.29454,11.0110361,0.164382
-5.338668,0.238434,10.5438693,0.187088,-4.8048012,0.315681,11.0777361,0.176889
-5.2719013,0.241402,10.610636,0.277191,-4.7380345,0.243164,11.1445028,0.104151
-5.2052013,0.20416,10.677336,0.292656,-4.6713345,0.222237,11.2112028,0.117136
-5.1384346,0.263639,10.7441027,0.224915,-4.6045678,0.168892,11.2779695,0.121753
-5.0717346,0.127772,10.8108027,0.202492,-4.5378678,0.230392,11.3446695,0.148504
-5.0049679,0.113845,10.8775694,0.165558,-4.4711011,0.0580215,11.4114362,0.106255
