Time	E,field
2.00101	-5.7E-4
2.02602	-5.4E-4
2.05103	-5.32E-4
2.07604	-4.98E-4
2.10106	-4.78E-4
2.12607	-4.5E-4
2.15108	-4.36E-4
2.17609	-4.06E-4
2.20111	-3.88E-4
2.22612	-3.76E-4
2.25113	-3.74E-4
2.27614	-3.36E-4
2.30115	-3.3E-4
2.32617	-3.08E-4
2.35118	-2.86E-4
2.37619	-2.66E-4
2.4012	-2.54E-4
2.42622	-2.3E-4
2.45123	-2.22E-4
2.47624	-1.82E-4
2.50126	-1.74E-4
2.52627	-1.34E-4
2.55128	-1.16E-4
2.57629	-8.4E-5
2.60131	-5.8E-5
2.62632	-2.4E-5
2.65133	-2E-6
2.67634	3.8E-5
2.70135	6.6E-5
2.72637	1.06E-4
2.75138	1.4E-4
2.77639	1.68E-4
2.80141	2.08E-4
2.82642	2.2E-4
2.85143	2.86E-4
2.87644	3.02E-4
2.90145	2.98E-4
2.92647	3.46E-4
2.95148	3.86E-4
2.97649	4.12E-4
3.00151	4.32E-4
3.02652	4.56E-4
3.05153	4.66E-4
3.07654	5.08E-4
3.10155	5.16E-4
3.12657	5.48E-4
3.15158	5.58E-4
3.17659	5.98E-4
3.2016	6.18E-4
3.22662	6.36E-4
3.25163	6.46E-4
3.27664	6.4E-4
3.30165	6.48E-4
3.32667	6.64E-4
3.35168	6.4E-4
3.37669	6.26E-4
3.4017	5.84E-4
3.42672	5.72E-4
3.45173	5.5E-4
3.47674	5.2E-4
3.50176	4.68E-4
3.52677	4.14E-4
3.55178	3.74E-4
3.57679	3.3E-4
3.6018	2.74E-4
3.62682	0
3.65183	0
3.67684	0
3.70185	0
3.72687	0
3.75188	0
3.77689	0
3.80191	0
3.82692	0
3.85193	0
3.87694	0
3.90195	0
3.92697	0
3.95198	0
3.97699	0
4.002	0
4.02702	0
4.05203	0
4.07704	0
4.10205	0
4.12707	0
4.15208	0
4.17709	0
4.20211	0
4.22712	0
4.25213	0
4.27714	0
4.30216	0
4.32717	0
4.35218	0
4.37719	0
4.4022	0
4.42722	0
4.45223	0
4.47724	0
4.50226	0
4.52727	0
4.55228	0
4.57729	0
4.60231	0
4.62732	0
4.65233	0
4.67734	0
4.70235	0
4.72737	0
4.75238	0
4.77739	0
4.8024	0
4.82742	0
