Var1,Var2,Var3
82.3627,1.8875e-05,NaN
82.3704,1.4125e-05,NaN
82.3781,1.04375e-05,NaN
82.3858,6.875e-06,NaN
82.3935,4.5e-06,NaN
82.4012,1.25e-06,NaN
82.4089,-1.25e-07,NaN
82.4165,-1.1875e-06,NaN
82.4242,-8.125e-07,NaN
82.4319,-7.5e-07,NaN
82.4396,-1.0625e-06,NaN
82.4473,-7.5e-07,NaN
82.455,-1.875e-07,NaN
82.4627,-5e-07,NaN
82.4704,-2.5e-06,NaN
82.4781,-7.3125e-06,NaN
82.4858,-9e-06,NaN
82.4935,-7.5625e-06,NaN
82.5012,-9.25e-06,NaN
82.5089,-7.875e-06,NaN
82.5166,-8.75e-06,NaN
82.5243,-5.0625e-06,NaN
82.532,-6.6875e-06,NaN
82.5397,-8e-06,NaN
82.5474,-8.125e-06,NaN
82.5551,-7.625e-06,NaN
82.5628,-6e-06,NaN
82.5705,-6.75e-06,NaN
82.5782,-6.5625e-06,NaN
82.5859,-5.125e-06,NaN
82.5936,-6.3125e-06,NaN
82.6013,-3.625e-06,NaN
82.609,-1.125e-06,NaN
82.6167,-1.8125e-06,NaN
82.6244,2.25e-06,NaN
82.6321,2.5e-07,NaN
82.6398,1.4375e-06,NaN
82.6475,-1.5625e-06,NaN
82.6552,-4.5625e-06,NaN
82.6629,-3.5e-06,NaN
82.6706,-2.8125e-06,NaN
82.6783,-3.3125e-06,NaN
82.686,-3.375e-06,NaN
82.6937,-2.1875e-06,NaN
82.7014,3.125e-07,NaN
82.7091,2.3125e-06,NaN
82.7168,6.25e-08,NaN
82.7245,-3.125e-07,NaN
82.7322,1.9375e-06,NaN
82.7399,-1.875e-07,NaN
82.7476,3.125e-07,NaN
82.7553,1.3125e-06,NaN
82.763,3.8125e-06,NaN
82.7707,2.3125e-06,NaN
82.7784,5.5625e-06,NaN
82.7861,5.875e-06,NaN
82.7938,4.125e-06,NaN
82.8015,6.5625e-06,NaN
82.8092,5.625e-06,NaN
82.8169,7.125e-06,NaN
82.8246,5.0625e-06,NaN
82.8323,4e-06,NaN
82.84,3.3125e-06,NaN
82.8477,7.25e-06,NaN
82.8554,7.0625e-06,NaN
82.8631,9.5e-06,NaN
82.8708,8.0625e-06,NaN
82.8784,8.375e-06,NaN
82.8861,7.375e-06,NaN
82.8938,9.8125e-06,NaN
82.9015,9.0625e-06,NaN
82.9092,7.9375e-06,NaN
82.9169,7.125e-06,NaN
82.9246,5.3125e-06,NaN
82.9323,2.6875e-06,NaN
82.94,5.625e-07,NaN
82.9477,1.0625e-06,NaN
82.9554,0,NaN
82.9631,-3.75e-07,NaN
82.9708,-1e-06,NaN
82.9785,3.75e-07,NaN
82.9862,1.3125e-06,NaN
82.9939,-2.9375e-06,NaN
83.0016,-1.75e-06,NaN
83.0093,-5.75e-06,NaN
83.017,-7.25e-06,NaN
83.0247,-4.75e-06,NaN
83.0324,-9e-06,NaN
83.0401,-6.0625e-06,NaN
