Time,E
18.618638,-5.44273
18.685338,-5.76043
18.7521047,-4.4576
18.8188047,-4.74156
18.8855714,-5.11329
18.9522714,-5.49632
19.0190381,-6.69046
19.08575144,-7.48755
19.15248479,-7.75235
19.21921814,-8.00774
19.28595149,-7.77401
19.35268484,-7.68273
19.41941819,-7.44564
19.48615154,-7.30297
19.55288489,-7.13557
19.61961824,-6.88506
19.68635159,-6.8677
19.75308494,-6.49969
19.81981829,-6.59638
19.88655164,-6.75834
19.95328499,-7.23289
20.02001834,-7.80113
20.08675169,-8.16265
20.15348504,-8.37672
20.22021839,-7.5507
20.28695174,-6.60901
20.35368509,-4.80461
20.42041844,-3.34319
20.48715179,-2.20579
20.55388514,-1.86541
20.62061849,-2.65221
20.68735184,-3.99383
20.75408519,-4.93577
20.82081854,-4.99381
20.88755189,-4.59525
20.95428524,-3.87514
21.02101859,-4.37193
21.08775194,-4.84621
21.15448529,-4.69286
21.22121864,-4.60397
21.28795199,-4.42441
21.35468534,-4.57896
21.42141869,-4.75063
21.48815204,-4.48181
21.55488539,-4.24925
21.62161874,-3.68882
21.68835209,-3.54908
21.75508544,-3.59372
21.82181879,-3.2998
21.88855214,-3.40189
21.95528549,-3.30291
22.02201884,-3.19761
22.08875219,-2.64965
22.15548554,-2.45814
22.22221889,-2.2656
