Time,E
11.1445028,0.71196
11.2112028,0.69632
11.2779695,0.571892
11.3446695,0.735146
11.4114362,0.661079
11.4781362,0.735794
11.5449029,0.503113
11.6116029,0.663643
11.6783696,0.488106
11.7450696,0.465416
11.8118363,0.536224
11.8785363,0.354088
11.945303,0.520103
12.012003,0.355919
12.0787697,0.428879
12.1454697,0.240685
12.2122364,0.347366
12.2789364,0.221878
12.3457031,0.149895
12.4124031,0.142128
12.4791698,0.181717
12.5458698,-0.159081
12.6126365,-0.00866699
12.6793365,0.00674438
12.7461032,-0.124847
12.8128032,-0.0523148
12.8795699,-0.0518951
12.9462699,-0.191887
13.0130366,-0.148468
13.0797366,-0.17411
13.1465033,-0.120178
13.2132033,-0.253319
13.27997,-0.269249
13.34667,-0.17276
13.4134367,-0.14267
13.4801367,-0.170868
13.5469034,0.0049057
13.6136034,0.0564575
13.6803701,0.131172
13.7470701,0.208488
13.8138368,0.051857
13.8805368,0.207947
13.9473035,0.397102
14.0140035,0.42292
