Var1,Var2,Var3
82.1856,-3.1625e-05,5.5e-06
82.1933,-1.4625e-05,7.625e-06
82.201,-2.5e-06,8e-06
82.2087,3e-06,8.5e-06
82.2164,8.375e-06,8.375e-06
82.2241,4.125e-06,8.375e-06
82.2318,-5e-06,8.5e-06
82.2395,-2.0375e-05,8.25e-06
82.2472,-3.375e-05,1.1375e-05
82.2549,-3.0625e-05,8.125e-06
82.2626,-1.1e-05,8.875e-06
82.2703,2.0125e-05,9.25e-06
82.278,5.7875e-05,9.625e-06
82.2857,8.5125e-05,9.25e-06
82.2934,7.65e-05,1.0125e-05
82.3011,5.475e-05,1.05e-05
82.3088,2.6375e-05,9.625e-06
82.3165,-2.5e-06,8.875e-06
82.3242,-1.4875e-05,1.125e-05
82.3319,-1.25e-05,8.875e-06
82.3396,-1.125e-06,8.375e-06
82.3473,1.725e-05,9.375e-06
82.355,3.3875e-05,9.25e-06
82.3627,4.3125e-05,1.0375e-05
82.3704,5.2625e-05,1.025e-05
82.3781,5.7875e-05,1.0625e-05
82.3858,5.6e-05,9.375e-06
82.3935,4.1625e-05,9.875e-06
82.4012,2.125e-05,1.0125e-05
82.4089,7.875e-06,9.375e-06
82.4165,3.75e-06,9.625e-06
82.4242,1.0875e-05,9.75e-06
82.4319,3.1875e-05,8.75e-06
82.4396,5.0375e-05,9.875e-06
82.4473,6.0875e-05,1e-05
82.455,6.0375e-05,1.1375e-05
82.4627,5.65e-05,1.05e-05
82.4704,4.7875e-05,9.5e-06
82.4781,3.6375e-05,9.125e-06
82.4858,3.475e-05,8.875e-06
82.4935,2.575e-05,9.5e-06
82.5012,2.0875e-05,9.625e-06
82.5089,1.9375e-05,9.875e-06
82.5166,2.15e-05,9.5e-06
82.5243,2.075e-05,9.625e-06
82.532,2.475e-05,9.125e-06
82.5397,3.525e-05,8.5e-06
82.5474,3.425e-05,9.375e-06
82.5551,3.475e-05,1.0125e-05
82.5628,3.15e-05,9.375e-06
82.5705,1.775e-05,8.875e-06
82.5782,-1.25e-07,9e-06
82.5859,-1.1375e-05,9.125e-06
82.5936,-1.7e-05,9.25e-06
82.6013,-1.2625e-05,9.125e-06
82.609,-5e-06,1.0125e-05
82.6167,3.125e-06,7.875e-06
82.6244,1.0875e-05,9.25e-06
82.6321,1.3e-05,1.025e-05
82.6398,8.625e-06,9.25e-06
82.6475,4.875e-06,9.875e-06
82.6552,-3.625e-06,1.075e-05
82.6629,-9.625e-06,9.625e-06
82.6706,-1.3625e-05,9.875e-06
82.6783,-1.45e-05,1e-05
82.686,-1.1625e-05,9.75e-06
82.6937,-8.375e-06,8.75e-06
82.7014,-4.5e-06,9.875e-06
82.7091,-3e-06,7.625e-06
82.7168,6.25e-07,1.0125e-05
82.7245,-1.25e-07,9.875e-06
82.7322,-1e-06,8.875e-06
82.7399,-4.5e-06,9.25e-06
82.7476,-6.75e-06,9.375e-06
82.7553,-9.75e-06,8.75e-06
82.763,-1.1125e-05,1.0625e-05
82.7707,-9.75e-06,8.25e-06
