Time,Empty,Time,Quartz Only,Time,Paper Only,Time,Quartz+Paper
-6.3396349,0.272885,1.0677336,0.261909,-5.8057681,0.23156,1.6016004,0.204781
-6.2729349,0.301944,1.1345003,0.167542,-5.7390681,0.274574,1.6683671,0.237251
-6.2061682,0.237599,1.2012003,0.118896,-5.6723014,0.30941,1.7350671,0.265617
-6.1394682,0.295915,1.267967,0.202362,-5.6056014,0.370995,1.8018338,0.334198
-6.0727015,0.261426,1.334667,0.0622711,-5.5388347,0.243454,1.8685338,0.326874
-6.0060015,0.235394,1.4014337,0.133224,-5.4721347,0.233391,1.9353005,0.296715
-5.9392348,0.332914,1.4681337,0.0494919,-5.405368,0.216156,2.0020005,0.378365
-5.8725348,0.245924,1.5349004,0.170891,-5.338668,0.237518,2.0687672,0.390114
-5.8057681,0.227734,1.6016004,0.267914,-5.2719013,0.323708,2.1354672,0.400116
-5.7390681,0.238735,1.6683671,0.238579,-5.2052013,0.207939,2.2022339,0.428116
-5.6723014,0.192646,1.7350671,0.136681,-5.1384346,0.335335,2.2689339,0.418159
-5.6056014,0.241701,1.8018338,0.119446,-5.0717346,0.260246,2.3357006,0.257446
-5.5388347,0.256447,1.8685338,0.164368,-5.0049679,0.192909,2.4024006,0.348053
-5.4721347,0.223468,1.9353005,0.197968,-4.9382679,0.246712,2.4691673,0.301682
-5.405368,0.218802,2.0020005,0.0842285,-4.8715012,0.29454,2.5358673,0.342728
-5.338668,0.238434,2.0687672,0.143867,-4.8048012,0.315681,2.602634,0.398918
-5.2719013,0.241402,2.1354672,0.162315,-4.7380345,0.243164,2.669334,0.227951
-5.2052013,0.20416,2.2022339,0.120796,-4.6713345,0.222237,2.7361007,0.3013
-5.1384346,0.263639,2.2689339,0.0275269,-4.6045678,0.168892,2.8028007,0.235733
-5.0717346,0.127772,2.3357006,0.0129929,-4.5378678,0.230392,2.8695674,0.215118
-5.0049679,0.113845,2.4024006,-0.0427704,-4.4711011,0.0580215,2.9362674,0.0587769
-4.9382679,-0.0352469,2.4691673,-0.18177,-4.4044011,-0.00686646,3.0030341,0.212822
-4.8715012,-0.195284,2.5358673,-0.264664,-4.3376344,-0.0318222,3.0697341,0.076416
-4.8048012,-0.296007,2.602634,-0.263603,-4.2709344,0.00128937,3.1365008,-0.0337219
-4.7380345,-0.311217,2.669334,-0.259636,-4.2041677,-0.0962372,3.2032008,-0.150414
-4.6713345,-0.0203468,2.7361007,-0.149063,-4.1374677,0.00363922,3.2699675,0.0834122
-4.6045678,0.681808,2.8028007,-0.0374222,-4.070701,0.485367,3.3366675,0.164093
-4.5378678,0.90533,2.8695674,0.393433,-4.004001,0.590637,3.4034342,0.388542
-4.4711011,0.772926,2.9362674,0.616516,-3.9372343,0.801254,3.4701342,0.518463
-4.4044011,0.816425,3.0030341,0.758949,-3.8705343,0.741234,3.5369009,0.80291
-4.3376344,0.665007,3.0697341,0.575699,-3.8037676,0.781586,3.6036009,0.613968
-4.2709344,0.674065,3.1365008,0.282898,-3.7370676,0.779854,3.6703676,0.532249
-4.2041677,0.552942,3.2032008,0.332932,-3.6703009,0.603691,3.7370676,0.389191
-4.1374677,0.578013,3.2699675,0.321678,-3.6036009,0.568283,3.8038343,0.368958
-4.070701,0.533643,3.3366675,0.386757,-3.5368342,0.626701,3.8705343,0.200386
-4.004001,0.572564,3.4034342,0.3871,-3.4701342,0.604767,3.937301,0.168694
-3.9372343,0.580283,3.4701342,0.299568,-3.4033675,0.467491,4.004001,0.244576
-3.8705343,0.646806,3.5369009,0.379028,-3.3366675,0.536415,4.0707677,0.449539
-3.8037676,0.64468,3.6036009,0.301331,-3.2699008,0.600555,4.1374677,0.549545
-3.7370676,0.55956,3.6703676,0.258133,-3.2032008,0.337852,4.2042344,0.697327
-3.6703009,-0.00322128,3.7370676,-0.0281601,-3.1364341,0.208168,4.2709344,0.900818
-3.6036009,-0.587083,3.8038343,-0.303101,-3.0697341,-0.0704498,4.3377011,0.682663
-3.5368342,-0.996735,3.8705343,-0.803246,-3.0029674,-0.451813,4.4044011,0.383514
-3.4701342,-1.09146,3.937301,-1.21215,-2.9362674,-0.856865,4.4711678,-0.0598831
-3.4033675,-1.21836,4.004001,-1.37013,-2.8695007,-0.816856,4.5378678,-0.356796
-3.3366675,-1.09083,4.0707677,-1.23017,-2.8028007,-0.880028,4.6046345,-0.60704
-3.2699008,-0.743863,4.1374677,-1.06429,-2.736034,-0.737083,4.6713345,-0.619392
-3.2032008,-0.633475,4.2042344,-0.902336,-2.669334,-0.782257,4.7381012,-0.494011
-3.1364341,-0.681557,4.2709344,-0.860878,-2.6025673,-0.692818,4.8048012,-0.584557
-3.0697341,-0.683209,4.3377011,-0.957115,-2.5358673,-0.794891,4.8715679,-0.640198
-3.0029674,-0.653196,4.4044011,-0.805542,-2.4691006,-0.698746,4.9382679,-0.593399
-2.9362674,-0.646051,4.4711678,-0.822968,-2.4024006,-0.6884,5.0050346,-0.660294
-2.8695007,-0.556534,4.5378678,-0.823769,-2.3356339,-0.503685,5.0717346,-0.586143
-2.8028007,-0.435742,4.6046345,-0.608139,-2.2689339,-0.502525,5.1385013,-0.352776
-2.736034,-0.194634,4.6713345,-0.439484,-2.2021672,-0.23243,5.2052013,-0.381203
-2.669334,0.0340483,4.7381012,-0.267578,-2.1354672,-0.143509,5.271968,-0.267845
-2.6025673,0.22057,4.8048012,-0.0890808,-2.0687005,0.0467987,5.338668,0.024086
-2.5358673,0.488503,4.8715679,0.290916,-2.0020005,0.224747,5.4054347,0.308395
-2.4691006,0.797254,4.9382679,0.353699,-1.9352338,0.46312,5.4721347,0.449654
-2.4024006,1.02708,5.0050346,0.581291,-1.8685338,0.770889,5.5389014,0.657127
-2.3356339,1.24571,5.0717346,0.782066,-1.8017671,1.15874,5.6056014,0.874573
-2.2689339,1.53012,5.1385013,1.06455,-1.7350671,1.20712,5.6723681,1.03641
-2.2021672,1.68301,5.2052013,1.34204,-1.6683004,1.28426,5.7390681,1.18654
-2.1354672,1.88368,5.271968,1.32822,-1.6016004,1.45612,5.8058348,1.33154
-2.0687005,1.94838,5.338668,1.60884,-1.5348337,1.68784,5.8725348,1.62009
-2.0020005,2.04192,5.4054347,1.45725,-1.4681337,1.70018,5.9393015,1.616
-1.9352338,2.08021,5.4721347,1.692,-1.401367,1.79012,6.0060015,1.74295
-1.8685338,2.06918,5.5389014,1.72213,-1.334667,1.77958,6.0727682,1.70822
-1.8017671,2.27281,5.6056014,1.72953,-1.2679003,1.89779,6.1394682,1.66804
-1.7350671,2.27349,5.6723681,1.74998,-1.2012003,1.97391,6.2062349,1.83421
-1.6683004,2.3167,5.7390681,1.94696,-1.1344336,1.97474,6.2729349,1.90385
-1.6016004,2.30695,5.8058348,1.98586,-1.0677336,1.98231,6.3397016,1.9201
-1.5348337,2.25457,5.8725348,1.89617,-1.0009669,2.05698,6.4064016,1.89094
-1.4681337,1.96526,5.9393015,1.77732,-0.9342669,1.92522,6.4731683,1.76639
-1.401367,1.61042,6.0060015,1.66473,-0.8675002,1.53664,6.5398683,1.6534
-1.334667,1.2637,6.0727682,1.3917,-0.8008002,1.37391,6.606635,1.44164
